"dose","param","type","country","value"
"DTP2","Shape","Low","Belize","7.04785347"
"DTP2","Shape","High","Belize","7.04785347"
"DTP2","Shape","Source","Belize","2011_MICS4"
"DTP3","Shift","Mid","Belize","0"
"DTP3","Shift","Low","Belize","0"
"DTP3","Shift","High","Belize","0"
"DTP3","Shift","Source","Belize","WHO schedules database"
"DTP3","Scale","Mid","Belize","30.05901068"
"DTP3","Scale","Low","Belize","26.26333174"
"DTP3","Scale","High","Belize","34.40325592"
"DTP3","Scale","Source","Belize","2011_MICS4"
"DTP3","Shape","Mid","Belize","8.138547838"
"DTP3","Shape","Low","Belize","8.138547838"
"DTP3","Shape","High","Belize","8.138547838"
"DTP3","Shape","Source","Belize","2011_MICS4"
"DTP1","Shift","Mid","Benin","0"
"DTP1","Shift","Low","Benin","0"
"DTP1","Shift","High","Benin","0"
"DTP1","Shift","Source","Benin","WHO schedules database"
"DTP1","Scale","Mid","Benin","8.261497498"
"DTP1","Scale","Low","Benin","6.309314214"
"DTP1","Scale","High","Benin","10.8177115"
"DTP1","Scale","Source","Benin","2011_DHS6"
"DTP1","Shape","Mid","Benin","4.07529068"
"DTP1","Shape","Low","Benin","4.07529068"
"DTP1","Shape","High","Benin","4.07529068"
"DTP1","Shape","Source","Benin","2011_DHS6"
"DTP2","Shift","Mid","Benin","0"
"DTP2","Shift","Low","Benin","0"
"DTP2","Shift","High","Benin","0"
"DTP2","Shift","Source","Benin","WHO schedules database"
"DTP2","Scale","Mid","Benin","13.61783743"
"DTP2","Scale","Low","Benin","10.83789727"
"DTP2","Scale","High","Benin","17.11083724"
"DTP2","Scale","Source","Benin","2011_DHS6"
"DTP2","Shape","Mid","Benin","4.811479092"
"DTP2","Shape","Low","Benin","4.811479092"
"DTP2","Shape","High","Benin","4.811479092"
"DTP2","Shape","Source","Benin","2011_DHS6"
"DTP3","Shift","Mid","Benin","0"
"DTP3","Shift","Low","Benin","0"
"DTP3","Shift","High","Benin","0"
"DTP3","Shift","Source","Benin","WHO schedules database"
"DTP3","Scale","Mid","Benin","19.38382766"
"DTP3","Scale","Low","Benin","15.40473444"
"DTP3","Scale","High","Benin","24.39073364"
"DTP3","Scale","Source","Benin","2011_DHS6"
"DTP3","Shape","Mid","Benin","4.781477243"
"DTP3","Shape","Low","Benin","4.781477243"
"DTP3","Shape","High","Benin","4.781477243"
"DTP3","Shape","Source","Benin","2011_DHS6"
"DTP1","Shift","Mid","Bhutan","0"
"DTP1","Shift","Low","Bhutan","0"
"DTP1","Shift","High","Bhutan","0"
"DTP1","Shift","Source","Bhutan","0"
"DTP1","Scale","Mid","Bhutan","8.915699005"
"DTP1","Scale","Low","Bhutan","6.675888094"
"DTP1","Scale","High","Bhutan","12.03062654"
"DTP1","Scale","Source","Bhutan","6 week schedule (n=44)"
"DTP1","Shape","Mid","Bhutan","3.929122806"
"DTP1","Shape","Low","Bhutan","3.929122806"
"DTP1","Shape","High","Bhutan","3.929122806"
"DTP1","Shape","Source","Bhutan","6 week schedule (n=44)"
"DTP2","Shift","Mid","Bhutan","0"
"DTP2","Shift","Low","Bhutan","0"
"DTP2","Shift","High","Bhutan","0"
"DTP2","Shift","Source","Bhutan","WHO schedules database"
"DTP2","Scale","Mid","Bhutan","14.72185898"
"DTP2","Scale","Low","Bhutan","11.43321977"
"DTP2","Scale","High","Bhutan","19.15936966"
"DTP2","Scale","Source","Bhutan","10 week schedule (n=43)"
"DTP2","Shape","Mid","Bhutan","4.356033206"
"DTP2","Shape","Low","Bhutan","4.356033206"
"DTP2","Shape","High","Bhutan","4.356033206"
"DTP2","Shape","Source","Bhutan","10 week schedule (n=43)"
"DTP3","Shift","Mid","Bhutan","0"
"DTP3","Shift","Low","Bhutan","0"
"DTP3","Shift","High","Bhutan","0"
"DTP3","Shift","Source","Bhutan","WHO schedules database"
"DTP3","Scale","Mid","Bhutan","21.05024433"
"DTP3","Scale","Low","Bhutan","16.38976474"
"DTP3","Scale","High","Bhutan","27.00385604"
"DTP3","Scale","Source","Bhutan","14 week schedule (n=43)"
"DTP3","Shape","Mid","Bhutan","4.481489509"
"DTP3","Shape","Low","Bhutan","4.481489509"
"DTP3","Shape","High","Bhutan","4.481489509"
"DTP3","Shape","Source","Bhutan","14 week schedule (n=43)"
"DTP1","Shift","Mid","Bolivia, Plurinational State of","0"
"DTP1","Shift","Low","Bolivia, Plurinational State of","0"
"DTP1","Shift","High","Bolivia, Plurinational State of","0"
"DTP1","Shift","Source","Bolivia, Plurinational State of","WHO schedules database"
"DTP1","Scale","Mid","Bolivia, Plurinational State of","10.4702934"
"DTP1","Scale","Low","Bolivia, Plurinational State of","8.925432068"
"DTP1","Scale","High","Bolivia, Plurinational State of","13.59504236"
"DTP1","Scale","Source","Bolivia, Plurinational State of","2m schedule (n=23)"
"DTP1","Shape","Mid","Bolivia, Plurinational State of","5.757823944"
"DTP1","Shape","Low","Bolivia, Plurinational State of","5.757823944"
"DTP1","Shape","High","Bolivia, Plurinational State of","5.757823944"
"DTP1","Shape","Source","Bolivia, Plurinational State of","2m schedule (n=23)"
"DTP2","Shift","Mid","Bolivia, Plurinational State of","0"
"DTP2","Shift","Low","Bolivia, Plurinational State of","0"
"DTP2","Shift","High","Bolivia, Plurinational State of","0"
"DTP2","Shift","Source","Bolivia, Plurinational State of","WHO schedules database"
"DTP2","Scale","Mid","Bolivia, Plurinational State of","20.06838989"
"DTP2","Scale","Low","Bolivia, Plurinational State of","17.76549891"
"DTP2","Scale","High","Bolivia, Plurinational State of","23.65967542"
"DTP2","Scale","Source","Bolivia, Plurinational State of","4m schedule (n=17)"
"DTP2","Shape","Mid","Bolivia, Plurinational State of","7.156065941"
"DTP2","Shape","Low","Bolivia, Plurinational State of","7.156065941"
"DTP2","Shape","High","Bolivia, Plurinational State of","7.156065941"
"DTP2","Shape","Source","Bolivia, Plurinational State of","4m schedule (n=17)"
"DTP3","Shift","Mid","Bolivia, Plurinational State of","0"
"DTP3","Shift","Low","Bolivia, Plurinational State of","0"
"DTP3","Shift","High","Bolivia, Plurinational State of","0"
"DTP3","Shift","Source","Bolivia, Plurinational State of","WHO schedules database"
"DTP3","Scale","Mid","Bolivia, Plurinational State of","29.54562926"
"DTP3","Scale","Low","Bolivia, Plurinational State of","26.24583081"
"DTP3","Scale","High","Bolivia, Plurinational State of","34.25329411"
"DTP3","Scale","Source","Bolivia, Plurinational State of","6m schedule (n=17)"
"DTP3","Shape","Mid","Bolivia, Plurinational State of","8.138547838"
"DTP3","Shape","Low","Bolivia, Plurinational State of","8.138547838"
"DTP3","Shape","High","Bolivia, Plurinational State of","8.138547838"
"DTP3","Shape","Source","Bolivia, Plurinational State of","6m schedule (n=17)"
"DTP1","Shift","Mid","Bosnia and Herzegovina","0"
"DTP1","Shift","Low","Bosnia and Herzegovina","0"
"DTP1","Shift","High","Bosnia and Herzegovina","0"
"DTP1","Shift","Source","Bosnia and Herzegovina","WHO schedules database"
"DTP1","Scale","Mid","Bosnia and Herzegovina","12.86098099"
"DTP1","Scale","Low","Bosnia and Herzegovina","10.35728729"
"DTP1","Scale","High","Bosnia and Herzegovina","15.969899"
"DTP1","Scale","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP1","Shape","Mid","Bosnia and Herzegovina","5.074242592"
"DTP1","Shape","Low","Bosnia and Herzegovina","5.074242592"
"DTP1","Shape","High","Bosnia and Herzegovina","5.074242592"
"DTP1","Shape","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP2","Shift","Mid","Bosnia and Herzegovina","0"
"DTP2","Shift","Low","Bosnia and Herzegovina","0"
"DTP2","Shift","High","Bosnia and Herzegovina","0"
"DTP2","Shift","Source","Bosnia and Herzegovina","WHO schedules database"
"DTP2","Scale","Mid","Bosnia and Herzegovina","20.55439758"
"DTP2","Scale","Low","Bosnia and Herzegovina","16.64130119"
"DTP2","Scale","High","Bosnia and Herzegovina","25.38763376"
"DTP2","Scale","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP2","Shape","Mid","Bosnia and Herzegovina","5.202075958"
"DTP2","Shape","Low","Bosnia and Herzegovina","5.202075958"
"DTP2","Shape","High","Bosnia and Herzegovina","5.202075958"
"DTP2","Shape","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP3","Shift","Mid","Bosnia and Herzegovina","0"
"DTP3","Shift","Low","Bosnia and Herzegovina","0"
"DTP3","Shift","High","Bosnia and Herzegovina","0"
"DTP3","Shift","Source","Bosnia and Herzegovina","WHO schedules database"
"DTP3","Scale","Mid","Bosnia and Herzegovina","30.14124727"
"DTP3","Scale","Low","Bosnia and Herzegovina","24.68187821"
"DTP3","Scale","High","Bosnia and Herzegovina","36.80817072"
"DTP3","Scale","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP3","Shape","Mid","Bosnia and Herzegovina","5.497864481"
"DTP3","Shape","Low","Bosnia and Herzegovina","5.497864481"
"DTP3","Shape","High","Bosnia and Herzegovina","5.497864481"
"DTP3","Shape","Source","Bosnia and Herzegovina","2012_MICS4"
"DTP1","Shift","Mid","Burkina Faso","0"
"DTP1","Shift","Low","Burkina Faso","0"
"DTP1","Shift","High","Burkina Faso","0"
"DTP1","Shift","Source","Burkina Faso","WHO schedules database"
"DTP1","Scale","Mid","Burkina Faso","10.3642807"
"DTP1","Scale","Low","Burkina Faso","8.677230127"
"DTP1","Scale","High","Burkina Faso","12.37933221"
"DTP1","Scale","Source","Burkina Faso","2010_DHS6"
"DTP1","Shape","Mid","Burkina Faso","6.18368721"
"DTP1","Shape","Low","Burkina Faso","6.18368721"
"DTP1","Shape","High","Burkina Faso","6.18368721"
"DTP1","Shape","Source","Burkina Faso","2010_DHS6"
"DTP2","Shift","Mid","Burkina Faso","0"
"DTP2","Shift","Low","Burkina Faso","0"
"DTP2","Shift","High","Burkina Faso","0"
"DTP2","Shift","Source","Burkina Faso","WHO schedules database"
"DTP2","Scale","Mid","Burkina Faso","15.34623003"
"DTP2","Scale","Low","Burkina Faso","13.2902606"
"DTP2","Scale","High","Burkina Faso","17.72025269"
"DTP2","Scale","Source","Burkina Faso","2010_DHS6"
"DTP2","Shape","Mid","Burkina Faso","7.63782537"
"DTP2","Shape","Low","Burkina Faso","7.63782537"
"DTP2","Shape","High","Burkina Faso","7.63782537"
"DTP2","Shape","Source","Burkina Faso","2010_DHS6"
"DTP3","Shift","Mid","Burkina Faso","0"
"DTP3","Shift","Low","Burkina Faso","0"
"DTP3","Shift","High","Burkina Faso","0"
"DTP3","Shift","Source","Burkina Faso","WHO schedules database"
"DTP3","Scale","Mid","Burkina Faso","20.78926468"
"DTP3","Scale","Low","Burkina Faso","17.84656719"
"DTP3","Scale","High","Burkina Faso","24.21717977"
"DTP3","Scale","Source","Burkina Faso","2010_DHS6"
"DTP3","Shape","Mid","Burkina Faso","7.198088646"
"DTP3","Shape","Low","Burkina Faso","7.198088646"
"DTP3","Shape","High","Burkina Faso","7.198088646"
"DTP3","Shape","Source","Burkina Faso","2010_DHS6"
"DTP1","Shift","Mid","Burundi","0"
"DTP1","Shift","Low","Burundi","0"
"DTP1","Shift","High","Burundi","0"
"DTP1","Shift","Source","Burundi","WHO schedules database"
"DTP1","Scale","Mid","Burundi","8.068655968"
"DTP1","Scale","Low","Burundi","6.801664091"
"DTP1","Scale","High","Burundi","9.571658973"
"DTP1","Scale","Source","Burundi","2010_DHS6"
"DTP1","Shape","Mid","Burundi","6.431417465"
"DTP1","Shape","Low","Burundi","6.431417465"
"DTP1","Shape","High","Burundi","6.431417465"
"DTP1","Shape","Source","Burundi","2010_DHS6"
"DTP2","Shift","Mid","Burundi","0"
"DTP2","Shift","Low","Burundi","0"
"DTP2","Shift","High","Burundi","0"
"DTP2","Shift","Source","Burundi","WHO schedules database"
"DTP2","Scale","Mid","Burundi","13.08176041"
"DTP2","Scale","Low","Burundi","11.54407249"
"DTP2","Scale","High","Burundi","14.82427067"
"DTP2","Scale","Source","Burundi","2010_DHS6"
"DTP2","Shape","Mid","Burundi","8.785607338"
"DTP2","Shape","Low","Burundi","8.785607338"
"DTP2","Shape","High","Burundi","8.785607338"
