"country","mortality_group","pathogen","brand","Dose","efficacy","scaling_factor","gamma_params","mid","low","high"
"Sri Lanka","Low","Hib","Hib vaccine","D3","E2",0.7,"VE",0.651,0.581,0.679
"Sri Lanka","Low","Hib","Hib vaccine","D3","E2",0.7,"Mean",10000,10000,10000
"Sri Lanka","Low","Hib","Hib vaccine","D3","E2",0.7,"alpha",100,100,100
"Sri Lanka","Low","Hib","Hib vaccine","D3","E2",0.7,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D1","E1",1,"VE",0.29,0.15,0.38
"Belgium","Very low","Sp","PCV13","D1","E1",1,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D1","E1",1,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D1","E1",1,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D2","E1",1,"VE",0.58,0.29,0.75
"Belgium","Very low","Sp","PCV13","D2","E1",1,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D2","E1",1,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D2","E1",1,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D3","E1",1,"VE",0.58,0.29,0.75
"Belgium","Very low","Sp","PCV13","D3","E1",1,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D3","E1",1,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D3","E1",1,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D1","E2",0.7,"VE",0.203,0.105,0.266
"Belgium","Very low","Sp","PCV13","D1","E2",0.7,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D1","E2",0.7,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D1","E2",0.7,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D2","E2",0.7,"VE",0.406,0.203,0.525
"Belgium","Very low","Sp","PCV13","D2","E2",0.7,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D2","E2",0.7,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D2","E2",0.7,"beta",100,100,100
"Belgium","Very low","Sp","PCV13","D3","E2",0.7,"VE",0.406,0.203,0.525
"Belgium","Very low","Sp","PCV13","D3","E2",0.7,"Mean",10000,10000,10000
"Belgium","Very low","Sp","PCV13","D3","E2",0.7,"alpha",100,100,100
"Belgium","Very low","Sp","PCV13","D3","E2",0.7,"beta",100,100,100
"Belgium","Very low","Rota","ROTARIX","D1","E1",1,"VE",0.63,0.5,0.79
"Belgium","Very low","Rota","ROTARIX","D1","E1",1,"Mean",176.8,114.7,268
"Belgium","Very low","Rota","ROTARIX","D1","E1",1,"alpha",0.9,0.9,0.9
"Belgium","Very low","Rota","ROTARIX","D1","E1",1,"beta",196.4444444,127.4444444,297.7777778
"Belgium","Very low","Rota","ROTARIX","D2","E1",1,"VE",1,0.99,1
"Belgium","Very low","Rota","ROTARIX","D2","E1",1,"Mean",176.8,114.7,268
"Belgium","Very low","Rota","ROTARIX","D2","E1",1,"alpha",0.9,0.9,0.9
"Belgium","Very low","Rota","ROTARIX","D2","E1",1,"beta",196.4444444,127.4444444,297.7777778
"Belgium","Very low","Rota","ROTARIX","D3","E1",1,"VE",1,0.99,1
"Belgium","Very low","Rota","ROTARIX","D3","E1",1,"Mean",176.8,114.7,268
